dte,openclose,eventName,eventTime
4/6/2018,The Museum is closed today,The Museum is closed today,
4/7/2018,The Museum is closed today,The Museum is closed today,
4/8/2018,The Museum is closed today,The Museum is closed today,
4/9/2018,The Museum is closed today,The Museum is closed today,
4/10/2018,The Museum is closed today,The Museum is closed today,
4/11/2018,The Museum is closed today,The Museum is closed today,
4/12/2018,The Museum is closed today,The Museum is closed today,
4/13/2018,The Museum is closed today,The Museum is closed today,
4/14/2018,The Museum is closed today,The Museum is closed today,
4/15/2018,The Museum is closed today,The Museum is closed today,
4/16/2018,The Museum is closed today,The Museum is closed today,
4/17/2018,The Museum is closed today,The Museum is closed today,
4/18/2018,The Museum is closed today,The Museum is closed today,
4/18/2018,,BLMA Board Meeting,5:00pm - 6:30pm
4/19/2018,The Museum is closed today,The Museum is closed today,
4/20/2018,The Museum is closed today,The Museum is closed today,
4/21/2018,The Museum is closed today,The Museum is closed today,
4/22/2018,The Museum is closed today,The Museum is closed today,
4/23/2018,The Museum is closed today,The Museum is closed today,
4/24/2018,The Museum is closed today,The Museum is closed today,
4/25/2018,The Museum is closed today,The Museum is closed today,
4/26/2018,The Museum is closed today,The Museum is closed today,
4/27/2018,The Museum is closed today,The Museum is closed today,
4/28/2018,The Museum is closed today,The Museum is closed today,
4/29/2018,The Museum is closed today,The Museum is closed today,
4/30/2018,The Museum is closed today,The Museum is closed today,
5/1/2018,The Museum is closed today,The Museum is closed today,
5/2/2018,The Museum is closed today,The Museum is closed today,
5/3/2018,The Museum is closed today,The Museum is closed today,
5/4/2018,The Museum is closed today,The Museum is closed today,
5/5/2018,The Museum is closed today,The Museum is closed today,
5/6/2018,The Museum is closed today,The Museum is closed today,
5/7/2018,The Museum is closed today,The Museum is closed today,
5/8/2018,The Museum is closed today,The Museum is closed today,
5/9/2018,The Museum is closed today,The Museum is closed today,
5/10/2018,The Museum is closed today,The Museum is closed today,
5/11/2018,The Museum is closed today,The Museum is closed today,
5/12/2018,The Museum is closed today,The Museum is closed today,
5/13/2018,The Museum is closed today,The Museum is closed today,
5/14/2018,The Museum is closed today,The Museum is closed today,
5/15/2018,The Museum is closed today,The Museum is closed today,
