dte,openclose
06/29/2018,The Museum is open today from 10:30 AM until 4:30 PM
06/30/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/01/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/02/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/03/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/04/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/05/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/06/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/07/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/08/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/09/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/10/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/11/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/12/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/13/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/14/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/15/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/16/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/17/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/18/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/19/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/20/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/21/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/22/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/23/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/24/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/25/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/26/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/27/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/28/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/29/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/30/2018,The Museum is open today from 10:30 AM until 4:30 PM
07/31/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/01/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/02/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/03/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/04/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/05/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/06/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/07/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/08/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/09/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/10/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/11/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/12/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/13/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/14/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/15/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/16/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/17/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/18/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/19/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/20/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/21/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/22/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/23/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/24/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/25/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/26/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/27/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/28/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/29/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/30/2018,The Museum is open today from 10:30 AM until 4:30 PM
08/31/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/01/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/02/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/03/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/04/2018,The Museum is closed today
09/05/2018,The Museum is closed today
09/06/2018,The Museum is closed today
09/07/2018,The Museum is closed today
09/08/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/09/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/10/2018,The Museum is closed today
09/11/2018,The Museum is closed today
09/12/2018,The Museum is closed today
09/13/2018,The Museum is closed today
09/14/2018,The Museum is closed today
09/15/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/16/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/17/2018,The Museum is closed today
09/18/2018,The Museum is closed today
09/19/2018,The Museum is closed today
09/20/2018,The Museum is closed today
09/21/2018,The Museum is closed today
09/22/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/23/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/24/2018,The Museum is closed today
09/25/2018,The Museum is closed today
09/26/2018,The Museum is closed today
09/27/2018,The Museum is closed today
09/28/2018,The Museum is closed today
09/29/2018,The Museum is open today from 10:30 AM until 4:30 PM
09/30/2018,The Museum is open today from 10:30 AM until 4:30 PM
10/01/2018,The Museum is closed today
10/02/2018,The Museum is closed today
10/03/2018,The Museum is closed today
10/04/2018,The Museum is closed today
10/05/2018,The Museum is closed today
10/06/2018,The Museum is open today from 10:30 AM until 4:30 PM
10/07/2018,The Museum is open today from 10:30 AM until 4:30 PM
10/08/2018,The Museum is open today from 10:30 AM until 4:30 PM
10/09/2018,The Museum is closed today
10/10/2018,The Museum is closed today
10/11/2018,The Museum is closed today
10/12/2018,The Museum is closed today
10/13/2018,The Museum is closed today
10/14/2018,The Museum is closed today
10/15/2018,The Museum is closed today
10/16/2018,The Museum is closed today
10/17/2018,The Museum is closed today
10/18/2018,The Museum is closed today
10/19/2018,The Museum is closed today
10/20/2018,The Museum is closed today
10/21/2018,The Museum is closed today
10/22/2018,The Museum is closed today
10/23/2018,The Museum is closed today
10/24/2018,The Museum is closed today
10/25/2018,The Museum is closed today
10/26/2018,The Museum is closed today
10/27/2018,The Museum is closed today
10/28/2018,The Museum is closed today
10/29/2018,The Museum is closed today
10/30/2018,The Museum is closed today
10/31/2018,The Museum is closed today
11/01/2018,The Museum is closed today
11/02/2018,The Museum is closed today
11/03/2018,The Museum is closed today
11/04/2018,The Museum is closed today
11/05/2018,The Museum is closed today
11/06/2018,The Museum is closed today
11/07/2018,The Museum is closed today
11/08/2018,The Museum is closed today
11/09/2018,The Museum is closed today
11/10/2018,The Museum is closed today
11/11/2018,The Museum is closed today
11/12/2018,The Museum is closed today
11/13/2018,The Museum is closed today
11/14/2018,The Museum is closed today
11/15/2018,The Museum is closed today
11/16/2018,The Museum is closed today
11/17/2018,The Museum is closed today
11/18/2018,The Museum is closed today
11/19/2018,The Museum is closed today
11/20/2018,The Museum is closed today
11/21/2018,The Museum is closed today
11/22/2018,The Museum is closed today
11/23/2018,The Museum is closed today
11/24/2018,The Museum is closed today
11/25/2018,The Museum is closed today
11/26/2018,The Museum is closed today
11/27/2018,The Museum is closed today
11/28/2018,The Museum is closed today
11/29/2018,The Museum is closed today
11/30/2018,The Museum is closed today
12/01/2018,The Museum is closed today
12/02/2018,The Museum is closed today
12/03/2018,The Museum is closed today
12/04/2018,The Museum is closed today
12/05/2018,The Museum is closed today
12/06/2018,The Museum is closed today
12/07/2018,The Museum is closed today
12/08/2018,The Museum is open today from 10:30 AM until 4:30 PM
12/09/2018,The Museum is open today from 10:30 AM until 4:30 PM
12/10/2018,The Museum is closed today
12/11/2018,The Museum is closed today
12/12/2018,The Museum is closed today
12/13/2018,The Museum is closed today
12/14/2018,The Museum is closed today
12/15/2018,The Museum is open today from 10:30 AM until 4:30 PM
12/16/2018,The Museum is open today from 10:30 AM until 4:30 PM
12/17/2018,The Museum is closed today
12/18/2018,The Museum is closed today
12/19/2018,The Museum is closed today
12/20/2018,The Museum is closed today
12/21/2018,The Museum is closed today
12/22/2018,The Museum is closed today
12/23/2018,The Museum is closed today
12/24/2018,The Museum is closed today
12/25/2018,The Museum is closed today
12/26/2018,The Museum is closed today
12/27/2018,The Museum is closed today
12/28/2018,The Museum is closed today
12/29/2018,The Museum is closed today
12/30/2018,The Museum is closed today
12/31/2018,The Museum is closed today
